Model Year,Model,Title State/Type,Location,Auction Date,Auctual Cash Value,Actual Cash Value Currency,Repair Cost,Repair Cost Currency,Odometer,Prim Damage,Sec Damage,Price Sold or Highest Bid,Price Sold or Highest Bid Currency
2020,Toyota COROLLA LE,FL RB,FL - MIAMI CENTRAL,2020-03-27,22387.0,USD $,,,16221 A,Side,Front end,10300.0,USD $
2020,Toyota COROLLA LE,FL CD,CA - SAN BERNARDINO,2020-03-26,12145.0,USD $,,,13379 A,Rear end,Front end,6800.0,USD $
2020,Toyota COROLLA SE,FL R1,FL - MIAMI CENTRAL,2020-03-24,21220.0,USD $,16000.0,USD $,27574 A,Water/flood,,10500.0,USD $
2020,Toyota PRIUS PRIM,UT SC,UT - SALT LAKE CITY,2020-03-24,31786.0,USD $,35030.0,USD $,202 A,Front end,,4800.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - ATLANTA EAST,2020-03-23,16161.0,USD $,,,22488 A,Front end,,6900.0,USD $
2020,Toyota RAV4 LE,NY SM,NY - BUFFALO,2020-03-23,27722.0,USD $,,,530 A,Front end,,11300.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - SUN VALLEY,2020-03-23,20210.0,USD $,16127.0,USD $,2718 A,Front end,,6500.0,USD $
2020,Toyota COROLLA LE,ID SC,ID - BOISE,2020-03-19,16262.0,USD $,,,3457 A,All over,Mechanical,4100.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - MACON,2020-03-16,15727.0,USD $,,,14279 A,Front end,,6900.0,USD $
2020,Toyota COROLLA LE,FL CD,FL - TAMPA SOUTH,2020-03-13,16084.0,USD $,,,2533 A,Front end,Side,5500.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - CARTERSVILLE,2020-03-12,15150.0,USD $,,,7596 A,Side,Rear end,7200.0,USD $
2020,Toyota COROLLA LE,TX SV,TX - HOUSTON,2020-03-10,18036.0,USD $,,,3451 A,Front end,All over,5000.0,USD $
2020,Toyota RAV4 XLE,IL SC,IL - CHICAGO SOUTH,2020-03-10,31704.0,USD $,,,729 A,Front end,,12800.0,USD $
2020,Toyota RAV4 XSE,TX SV,TX - FT. WORTH,2020-03-09,35783.0,USD $,,,1461 A,Front end,,15000.0,USD $
2020,Toyota COROLLA LE,FL RB,FL - MIAMI CENTRAL,2020-03-09,16825.0,USD $,,,1262 A,Front end,,9200.0,USD $
2020,Toyota SIENNA LE,CA SC,CA - SUN VALLEY,2020-03-09,33300.0,USD $,,,5875 A,Front end,Minor dent/scratches,12500.0,USD $
2020,Toyota CAMRY SE,NH CT,MA - NORTH BOSTON,2020-03-09,,,,,621 A,Rear end,Minor dent/scratches,17000.0,USD $
2020,Toyota COROLLA SE,IN ST,IN - INDIANAPOLIS,2020-03-07,18250.0,USD $,,,6065 A,Front end,Minor dent/scratches,6900.0,USD $
2020,Toyota CAMRY LE,CA SC,CA - LOS ANGELES,2020-03-06,29604.0,USD $,,,686 A,Rear end,Front end,12800.0,USD $
2020,Toyota COROLLA LE,NV SC,NV - LAS VEGAS,2020-03-05,20367.0,USD $,,,5722 A,Side,Front end,7500.0,USD $
2020,Toyota PRIUS PRIM,MA ST,MA - NORTH BOSTON,2020-03-04,32251.0,USD $,,,0 N,Side,Front end,10500.0,USD $
2020,Toyota COROLLA SE,CA SC,CA - LOS ANGELES,2020-03-04,24638.0,USD $,,,128 A,Front end,Rear end,10000.0,USD $
2020,Toyota COROLLA LE,FL CD,FL - MIAMI CENTRAL,2020-03-02,27412.0,USD $,,,796 A,Front end,,8900.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - VAN NUYS,2020-02-28,19990.0,USD $,,,7966 A,Front end,Normal wear,6000.0,USD $
2020,Toyota COROLLA SE,TX CT,TX - SAN ANTONIO,2020-02-27,,,,,11113 A,Side,,13400.0,USD $
2020,Toyota SIENNA XLE,FL RB,FL - MIAMI SOUTH,2020-02-26,,,,,1867 A,Front end,Top/roof,23500.0,USD $
2020,Toyota COROLLA LE,TX SV,MN - MINNEAPOLIS,2020-02-26,17051.0,USD $,,,9225 A,Front end,Minor dent/scratches,8600.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - VAN NUYS,2020-02-21,16852.0,USD $,,,16283 A,Front end,Rear end,6000.0,USD $
2020,Toyota COROLLA LE,AZ SC,AZ - PHOENIX,2020-02-21,18483.0,USD $,,,4814 A,Side,Front end,7700.0,USD $
2020,Toyota COROLLA LE,KY BS,KY - LOUISVILLE,2020-02-20,21557.0,USD $,,,4489 A,Front end,,7000.0,USD $
2020,Toyota COROLLA SE,FL RB,FL - ORLANDO SOUTH,2020-02-19,,,,,12617 A,Front end,Side,9500.0,USD $
